Entry ID,Deposition Date,Refinement Resolution (Å),Unnamed: 3
1A6V,1998-03-03,1.8,
1B09,1998-11-18,2.5,
1B0W,1998-11-13,1.8,
1B2W,1998-12-01,2.9,
1B3J,1998-12-11,3.0,
1B88,1999-02-09,2.5,
1BAF,1992-01-16,2.9,
1BJ1,1998-06-30,2.4,
1BLN,1998-07-16,2.8,
1BM3,1999-04-15,2.0,
1BQH,1998-08-16,2.8,
1BWM,1998-09-23,,
1BWW,1998-09-29,1.7,
1BX2,1998-10-12,2.6,
1BXI,1998-10-04,2.05,
1BXT,1998-10-08,1.85,
1BZ7,1998-11-06,2.5,
1C12,1999-07-20,2.6,
1C16,1999-07-20,3.1,
1C1E,1999-07-22,1.9,
1C5B,1999-11-08,2.1,
1C5C,1999-11-09,1.61,
1C5D,1999-11-17,2.4,
1C9H,1999-08-02,2.0,
1CD0,1999-03-05,1.9,
1CE1,1999-03-12,1.9,
1CI5,1999-04-07,,
1CL7,1999-05-06,3.0,
1CQK,1999-08-06,2.2,
1CQP,1999-08-10,2.6,
1CR9,1999-08-14,2.0,
1CT8,1999-08-20,2.2,
1CU4,1999-08-20,2.9,
1CV9,1999-08-23,,
1CZ8,1999-09-01,2.4,
1D5B,1999-10-06,2.8,
1D5I,1999-10-07,2.0,
1D6V,1999-10-15,2.0,
1D6X,1999-10-15,,
1D9C,1999-10-27,2.0,
1D9G,1999-10-27,2.9,
1D9K,1999-10-28,3.2,
1DEE,1999-11-15,2.7,
1DFW,1999-11-22,,
1DGQ,1999-11-24,,
1DL7,1999-12-08,2.35,
1DN0,1999-12-15,2.28,
1DN2,1999-12-15,2.7,
1DQD,2000-01-04,2.1,
1DQL,2000-01-04,2.6,
1DQM,2000-01-04,2.1,
1DQQ,2000-01-04,1.8,
1DQT,2000-01-05,2.0,
1DQY,2000-01-05,1.83,
1DQZ,2000-01-05,1.5,
1DR9,2000-01-06,3.0,
1DT4,2000-01-11,2.6,
1DTJ,2000-01-12,2.0,
1DUY,2000-01-19,2.15,
1DUZ,2000-01-19,1.8,
1DZB,2000-02-23,2.0,
1E27,2000-05-18,2.2,
1E4J,2000-07-07,2.5,
1E4K,2000-07-07,3.2,
1E4W,2000-07-12,1.95,
1E4X,2000-07-12,1.9,
1ED3,2000-01-26,2.55,
1EEQ,2000-02-01,1.5,
1EEU,2000-02-03,1.6,
1EEY,2000-02-04,2.25,
1EEZ,2000-02-04,2.3,
1EFQ,2000-02-09,1.6,
1EFX,2000-02-10,3.0,
1EGJ,2000-02-15,2.8,
1EHL,2000-02-21,2.4,
1EJO,2000-03-03,2.3,
1EK3,2000-03-06,1.9,
1EKU,2000-03-09,2.9,
1EL0,2000-03-11,,
1EMT,2000-03-17,2.25,
1EMV,2000-03-20,1.7,
1ES0,2000-04-07,2.6,
1ET6,2000-04-12,1.9,
1ET9,2000-04-12,1.9,
1ETZ,2000-04-13,2.6,
1EU3,2000-04-13,1.68,
1EU4,2000-04-13,2.5,
1EXU,2000-05-04,2.7,
1F11,2000-05-18,3.0,
1F1M,2000-05-19,1.8,
1F2Q,2000-05-28,2.4,
1F2X,2000-05-30,2.1,
1F3D,2000-06-02,1.87,
1F3J,2000-06-04,3.1,
1F3R,2000-06-06,,
1F4W,2000-06-10,2.3,
1F4X,2000-06-10,2.3,
1F4Y,2000-06-10,2.8,
1F6A,2000-06-20,3.5,
1F6L,2000-06-22,2.8,
1F8T,2000-07-05,2.2,
1F90,2000-07-06,2.6,
1FE8,2000-07-21,2.03,
1FG2,2000-07-27,2.754,
1FG9,2000-07-28,2.9,
1FGV,1993-11-01,1.9,
1FH5,2000-07-31,2.9,
1FJ1,2000-08-07,2.68,
1FL3,2000-08-11,2.45,
1FL5,2000-08-11,2.1,
1FL6,2000-08-11,2.8,
1FM5,2000-08-16,2.27,
1FN4,2000-08-21,2.8,
1FNE,2000-08-21,1.9,
1FNG,2000-08-21,1.9,
1FNS,2000-08-23,2.0,
1FO0,2000-08-24,2.5,
1FP5,2000-08-30,2.3,
1FR2,2000-09-07,1.6,
1FSK,2000-09-11,2.9,
1FV1,2000-09-18,1.9,
1FYH,2000-09-29,2.04,
1FYT,2000-10-03,2.6,
1FZJ,2000-10-03,1.9,
1FZK,2000-10-03,1.7,
1FZM,2000-10-03,1.8,
1FZO,2000-10-03,1.8,
1G0X,2000-10-09,2.1,
1G0Y,2000-10-09,3.0,
1G5Z,2000-11-02,2.51,
