Identifier,StructureData,,
Entry ID,Deposition Date,Refinement Resolution (Å),
"4LQD","2013-07-17","2.451"
"4LQF","2013-07-17","2.3"
"4LRI","2013-07-19","1.65"
"4LRN","2013-07-20","1.89"
"4LU5","2013-07-24","2.9"
"4LVH","2013-07-26","2.8"
"4LZP","2013-08-01","3.15"
"4M1D","2013-08-02","1.8"
"4M1G","2013-08-02","1.6"
"4M3J","2013-08-06","1.95"
"4M43","2013-08-06","1.85"
"4M5Y","2013-08-08","1.55"
"4M61","2013-08-08","1.62"
"4M62","2013-08-08","1.8"
"4M6M","2013-08-09","2"
"4M6N","2013-08-09","2"
"4M6O","2013-08-09","2.8"
"4M7J","2013-08-12","1.95"
"4M7K","2013-08-12","1.9"
"4M7Z","2013-08-12","2.75"
"4M8Q","2013-08-13","2.89"
"4M8V","2013-08-14","1.951"
"4M93","2013-08-14","2.09"
"4M9O","2013-08-15","2.14"
"4MA1","2013-08-15","2.32"
"4MA3","2013-08-15","2"
"4MA7","2013-08-15","1.97"
"4MA8","2013-08-15","2.2"
"4MAU","2013-08-16","1.9"
"4MAY","2013-08-18","2.2"
"4MCY","2013-08-22","2.3"
"4MCZ","2013-08-22","2.41"
"4MD0","2013-08-22","2.194"
"4MD4","2013-08-22","1.95"
"4MD5","2013-08-22","1.65"
"4MDI","2013-08-22","2"
"4MDJ","2013-08-22","1.7"
"4MHE","2013-08-29","2.1"
"4MI1","2013-08-30","1.4"
"4MJI","2013-09-03","2.99"
"4MJX","2013-09-04","1.4"
"4MNG","2013-09-10","3.0058"
"4MNH","2013-09-10","3.3"
"4MNQ","2013-09-11","2.742"
"4MQ7","2013-09-15","2.6032"
"4MS8","2013-09-18","1.922"
"4MSV","2013-09-18","2.5"
"4MUC","2013-09-21","2.897"
"4MVB","2013-09-23","3.088"
"4MWF","2013-09-24","2.645"
"4MX7","2013-09-25","2.24"
"4MXQ","2013-09-26","2.596"
"4N0C","2013-10-01","2.9"
"4N0F","2013-10-01","3.02"
"4N0Y","2013-10-02","1.749"
"4N5E","2013-10-09","3.059"
"4N8C","2013-10-17","1.6"
"4N8P","2013-10-17","2.299"
"4N8V","2013-10-18","2.5"
"4N9G","2013-10-21","2.5"
"4NBX","2013-10-23","1.75"
"4NBY","2013-10-23","2.08"
"4NBZ","2013-10-23","1.75"
"4NC0","2013-10-23","2.3"
"4NC1","2013-10-23","2.61"
"4NC2","2013-10-23","2.5"
"4NCC","2013-10-24","2.49"
"4NDM","2013-10-27","3.0065"
"4NEJ","2013-10-29","1.919"
"4NEM","2013-10-29","1.934"
"4NFB","2013-10-31","1.6"
"4NFC","2013-10-31","2.2"
"4NFD","2013-10-31","1.708"
"4NGH","2013-11-01","2.68"
"4NHC","2013-11-04","2.912"
"4NHG","2013-11-05","8.001"
"4NHH","2013-11-05","6.5"
"4NHU","2013-11-05","2.9"
"4NJ9","2013-11-08","1.95"
"4NJA","2013-11-08","2.204"
"4NM4","2013-11-14","2.65"
"4NOB","2013-11-19","1.51"
"4NOF","2013-11-19","1.65"
"4NOO","2013-11-20","2.3"
"4NP4","2013-11-20","2.89"
"4NPY","2013-11-22","1.796"
"4NQC","2013-11-25","2.5"
"4NQD","2013-11-25","2.2"
"4NQE","2013-11-25","2.1"
"4NQS","2013-11-25","2.64"
"4NQT","2013-11-25","2.1"
"4NQU","2013-11-25","2.5"
"4NRX","2013-11-27","2.21"
"4NRY","2013-11-27","3.14"
"4NRZ","2013-11-27","2.42"
"4NT6","2013-12-01","1.84"
"4NUG","2013-12-03","1.8617"
"4NUJ","2013-12-03","1.827"
"4NUX","2013-12-04","2.295"
"4NWT","2013-12-06","1.75"
"4NWU","2013-12-06","1.602"
"4NYL","2013-12-10","2.8"
"4NYT","2013-12-11","2.25"
"4NZU","2013-12-12","1.2"
"4O2C","2013-12-17","1.802"
"4O2E","2013-12-17","1.981"
"4O2F","2013-12-17","1.901"
"4O4Y","2013-12-19","1.85"
"4O51","2013-12-19","2.204"
"4O5L","2013-12-19","1.5045"
"4O6K","2013-12-21","2.1"
"4O9H","2014-01-02","2.42"
"4OAW","2014-01-06","2.8"
"4OB5","2014-01-06","1.7"
"4OCR","2014-01-09","1.895"
"4OCS","2014-01-09","1.901"
"4OCW","2014-01-09","3.001"
"4OCX","2014-01-09","2.39"
"4OCY","2014-01-09","2.79"
"4OD1","2014-01-09","2.69"
"4OD3","2014-01-09","2.616"
"4ODH","2014-01-10","2.894"
"4ODS","2014-01-10","1.94"
"4ODT","2014-01-10","1.95"
"4ODU","2014-01-10","2.29"
"4ODV","2014-01-10","2.15"
"4ODW","2014-01-10","2.72"
"4ODX","2014-01-10","3.1"
"4OJF","2014-01-21","1.998"
"4ONF","2014-01-28","2"
"4ONG","2014-01-28","2.2"
"4ONH","2014-01-28","3.008"
"4ONO","2014-01-28","2.705"
"4ONT","2014-01-29","2.15"
"4OPP","2014-02-06","2.3"
"4ORG","2014-02-11","3.121"
"4ORV","2014-02-12","2.5"
"4OSU","2014-02-13","1.87"
"4OTX","2014-02-14","2.1"
"4OUG","2014-02-17","2.46"
"4OUO","2014-02-18","1.8"
"4OV5","2014-02-20","2.199"
