Identifier,StructureData,,,,,
Entry ID,Experimental Method,Deposition Date,PDB ID,Refinement Resolution (Å),Stucture Keywords,
"10GS","X-RAY DIFFRACTION","1997-08-14","10GS","2.2","TRANSFERASE/TRANSFERASE INHIBITOR"
"10MH","X-RAY DIFFRACTION","1998-08-10","10MH","2.55","TRANSFERASE/DNA"
"11GS","X-RAY DIFFRACTION","1997-11-03","11GS","2.3","TRANSFERASE"
"12GS","X-RAY DIFFRACTION","1997-11-19","12GS","2.1","TRANSFERASE/TRANSFERASE INHIBITOR"
"13GS","X-RAY DIFFRACTION","1997-11-20","13GS","1.9","TRANSFERASE/TRANSFERASE INHIBITOR"
"13PK","X-RAY DIFFRACTION","1996-11-23","13PK","2.5","KINASE"
"14GS","X-RAY DIFFRACTION","1997-11-29","14GS","2.8","TRANSFERASE"
"16GS","X-RAY DIFFRACTION","1997-11-30","16GS","1.9","TRANSFERASE"
"16PK","X-RAY DIFFRACTION","1998-05-18","16PK","1.6","KINASE"
"17GS","X-RAY DIFFRACTION","1997-12-07","17GS","1.9","TRANSFERASE"
"18GS","X-RAY DIFFRACTION","1997-12-07","18GS","1.9","TRANSFERASE"
"19GS","X-RAY DIFFRACTION","1997-12-14","19GS","1.9","TRANSFERASE"
"1A06","X-RAY DIFFRACTION","1997-12-09","1A06","2.5","KINASE"
"1A07","X-RAY DIFFRACTION","1997-12-09","1A07","2.2","COMPLEX (TRANSFERASE/PEPTIDE)"
"1A08","X-RAY DIFFRACTION","1997-12-09","1A08","2.2","COMPLEX (TRANSFERASE/PEPTIDE)"
"1A09","X-RAY DIFFRACTION","1997-12-10","1A09","2","COMPLEX (TRANSFERASE/PEPTIDE)"
"1A0B","X-RAY DIFFRACTION","1997-11-27","1A0B","2.06","HISTIDINE KINASE"
"1A0F","X-RAY DIFFRACTION","1997-11-29","1A0F","2.1","TRANSFERASE"
"1A0G","X-RAY DIFFRACTION","1997-11-30","1A0G","2","TRANSFERASE"
"1A0N","SOLUTION NMR","1997-12-05","1A0N",,"COMPLEX (PHOSPHOTRANSFERASE/PEPTIDE)"
"1A0O","X-RAY DIFFRACTION","1997-12-05","1A0O","2.95","CHEMOTAXIS"
"1A1A","X-RAY DIFFRACTION","1997-12-10","1A1A","2","COMPLEX (TRANSFERASE/PEPTIDE)"
"1A1B","X-RAY DIFFRACTION","1997-12-10","1A1B","2.2","COMPLEX (TRANSFERASE/PEPTIDE)"
"1A1C","X-RAY DIFFRACTION","1997-12-10","1A1C","2.4","COMPLEX (TRANSFERASE/PEPTIDE)"
"1A1D","SOLUTION NMR","1997-12-10","1A1D",,"NUCLEOTIDYLTRANSFERASE"
"1A1E","X-RAY DIFFRACTION","1997-12-10","1A1E","2.2","COMPLEX (TRANSFERASE/PEPTIDE)"
"1A1S","X-RAY DIFFRACTION","1997-12-15","1A1S","2.7","TRANSCARBAMYLASE"
"1A25","X-RAY DIFFRACTION","1998-01-16","1A25","2.7","CALCIUM-BINDING PROTEIN"
"1A26","X-RAY DIFFRACTION","1998-01-16","1A26","2.25","TRANSFERASE"
"1A2N","X-RAY DIFFRACTION","1998-01-06","1A2N","2.8","TRANSFERASE"
"1A3A","X-RAY DIFFRACTION","1998-01-19","1A3A","1.8","PHOSPHOTRANSFERASE"
"1A3C","X-RAY DIFFRACTION","1998-01-20","1A3C","1.6","TRANSCRIPTION REGULATION"
"1A3G","X-RAY DIFFRACTION","1998-01-21","1A3G","2.5","AMINOTRANSFERASE"
"1A3S","X-RAY DIFFRACTION","1998-01-23","1A3S","2.8","SUMO CONJUGATING ENZYME"
"1A3W","X-RAY DIFFRACTION","1998-01-26","1A3W","3","TRANSFERASE"
"1A3X","X-RAY DIFFRACTION","1998-01-26","1A3X","3","TRANSFERASE"
"1A47","X-RAY DIFFRACTION","1998-02-11","1A47","2.56","GLYCOSIDASE"
"1A49","X-RAY DIFFRACTION","1998-02-12","1A49","2.1","TRANSFERASE"
"1A4V","X-RAY DIFFRACTION","1998-02-05","1A4V","1.8","LACTOSE SYNTHASE"
"1A4X","X-RAY DIFFRACTION","1998-02-08","1A4X","2.3","TRANSCRIPTION REGULATION"
"1A59","X-RAY DIFFRACTION","1998-02-20","1A59","2.09","COLD-ACTIVITY"
"1A5T","X-RAY DIFFRACTION","1998-02-18","1A5T","2.2","ZINC FINGER"
"1A5U","X-RAY DIFFRACTION","1998-02-18","1A5U","2.35","TRANSFERASE"
"1A5V","X-RAY DIFFRACTION","1998-02-18","1A5V","1.9","HYDROLASE"
"1A5W","X-RAY DIFFRACTION","1998-02-18","1A5W","2","HYDROLASE"
"1A5X","X-RAY DIFFRACTION","1998-02-18","1A5X","1.9","HYDROLASE"
"1A69","X-RAY DIFFRACTION","1998-03-08","1A69","2.1","GLYCOSYLTRANSFERASE"
"1A6J","X-RAY DIFFRACTION","1998-02-25","1A6J","2.35","PHOSPHOTRANSFERASE SYSTEM"
"1A7J","X-RAY DIFFRACTION","1998-03-16","1A7J","2.5","TRANSFERASE"
"1A81","X-RAY DIFFRACTION","1998-03-31","1A81","3","COMPLEX (TRANSFERASE/PEPTIDE)"
"1A8I","X-RAY DIFFRACTION","1998-03-25","1A8I","1.78","GLYCOGEN PHOSPHORYLASE"
"1A95","X-RAY DIFFRACTION","1998-04-16","1A95","2","PHOSPHORIBOSYLTRANSFERASE"
"1A96","X-RAY DIFFRACTION","1998-04-16","1A96","2","PHOSPHORIBOSYLTRANSFERASE"
"1A97","X-RAY DIFFRACTION","1998-04-16","1A97","2.6","PHOSPHORIBOSYLTRANSFERASE"
